id,ident,name,type,scheduled_service,municipality,state_name,iso_region,latitude_deg,longitude_deg,elevation_ft,gps_code,local_code
26555,VIDP,Indira Gandhi International Airport,large_airport,yes,New Delhi,Delhi,IN-DL,28.55563,77.09519,777.0,VIDP,
26444,VOGO,Dabolim Airport,large_airport,yes,Vasco Da Gama,Goa,IN-GA,15.3808,73.831398,150.0,VOGO,
342094,VOGA,Manohar International Airport,large_airport,yes,Mopa,Goa,IN-GA,15.744257,73.860625,552.0,VOGA,
512065,VAHS,Rajkot International Airport,large_airport,no,Rajkot,Gujarat,IN-GJ,22.378824,71.039391,647.0,VAHS,
26434,VABB,Chhatrapati Shivaji International Airport,large_airport,yes,Mumbai,IN-MM,IN-MM,19.08869934,72.86789703,39.0,VABB,
342093,IN-0276,Navi Mumbai International Airport,large_airport,yes,Navi Mumbai,IN-MM,IN-MM,18.984597,73.065253,184.0,,
35141,VOHS,Rajiv Gandhi International Airport,large_airport,yes,Hyderabad,IN-TG,IN-TG,17.231318,78.429855,2024.0,VOHS,
35145,VOBL,Kempegowda International Airport,large_airport,yes,Bangalore,Karnataka,IN-KA,13.1979,77.706299,3000.0,VOBL,
26609,VOCI,Cochin International Airport,large_airport,yes,Kochi,Kerala,IN-KL,10.151047,76.400838,30.0,VOCI,
26629,VOTV,Thiruvananthapuram International Airport,large_airport,yes,Thiruvananthapuram,Kerala,IN-KL,8.48212,76.920097,15.0,VOTV,
26618,VOMM,Chennai International Airport,large_airport,yes,Chennai,Tamil Nadu,IN-TN,12.990005,80.169296,52.0,VOMM,
26496,VECC,Netaji Subhash Chandra Bose International Airport,large_airport,yes,Kolkata,West Bengal,IN-WB,22.654699,88.446701,16.0,VECC,
3343,VO94,Campbell Bay Airport / INS Baaz,medium_airport,no,Campbell Bay,Andaman and Nicobar Islands,IN-AN,7.01304,93.922798,16.0,VOBX,
26612,VOCX,Car Nicobar Air Force Base,medium_airport,no,Iaf Camp,Andaman and Nicobar Islands,IN-AN,9.153056,92.819273,5.0,VOCX,
26620,VOPB,Veer Savarkar International Airport / INS Utkrosh,medium_airport,yes,Port Blair,Andaman and Nicobar Islands,IN-AN,11.641208,92.729643,13.0,VOPB,
26611,VOCP,Kadapa Airport,medium_airport,yes,Kadapa,Andhra Pradesh,IN-AP,14.513154,78.769183,430.0,VOCP,
340146,VOKU,Kurnool Airport,medium_airport,yes,Orvakal,Andhra Pradesh,IN-AP,15.716288,78.16923,920.0,VOKU,KJB
26623,VORY,Rajahmundry Airport,medium_airport,yes,Madhurapudi,Andhra Pradesh,IN-AP,17.105799,81.813204,151.0,VORY,
26622,VOPN,Sri Sathya Sai Airport,medium_airport,no,Puttaparthi,Andhra Pradesh,IN-AP,14.14929962,77.79109955,1558.0,VOPN,
26606,VOBZ,Vijayawada Airport,medium_airport,yes,Gannavaram,Andhra Pradesh,IN-AP,16.530399,80.796799,82.0,VOBZ,
26523,VEVZ,Visakhapatnam Airport,medium_airport,yes,Visakhapatnam,Andhra Pradesh,IN-AP,17.723506,83.227729,15.0,VOVZ,
26488,VEAN,Along Airport,medium_airport,no,,Arunachal Pradesh,IN-AR,28.1753006,94.80200195,900.0,VEAN,
354546,IN-0308,Itanagar Donyi Polo Hollongi Airport,medium_airport,yes,Hollongi,Arunachal Pradesh,IN-AR,26.96683,93.638792,328.0,VEHO,
26524,VEZO,Ziro Airport,medium_airport,no,Ziro,Arunachal Pradesh,IN-AR,27.588301,93.828102,5403.0,VEZO,
26512,VEMN,Dibrugarh Airport,medium_airport,yes,Dibrugarh,Assam,IN-AS,27.48390007,95.01689911,362.0,VEMN,
26507,VEJT,Jorhat Airport,medium_airport,yes,Jorhat,Assam,IN-AS,26.73150063,94.17549896,311.0,VEJT,
26511,VELR,Lilabari North Lakhimpur Airport,medium_airport,yes,Lilabari,Assam,IN-AS,27.2955,94.097603,330.0,VELR,
26501,VEGT,Lokpriya Gopinath Bordoloi International Airport,medium_airport,yes,Guwahati,Assam,IN-AS,26.10610008,91.58589935,162.0,VEGT,
26509,VEKU,Silchar Airport,medium_airport,yes,Silchar,Assam,IN-AS,24.91290092,92.97869873,352.0,VEKU,
26521,VETZ,Tezpur Airport,medium_airport,yes,,Assam,IN-AS,26.70910072,92.78469849,240.0,VETZ,
3319,VEDH,Darbhanga Airport,medium_airport,yes,Darbhanga,Bihar,IN-BR,26.192801,85.916901,156.0,VEDH,VEDH
26498,VEDB,Dhanbad Airport,medium_airport,no,,Bihar,IN-BR,23.834,86.425301,847.0,VEDB,
26502,VEGY,Gaya Airport,medium_airport,yes,Gaya,Bihar,IN-BR,24.744301,84.951202,380.0,VEGY,
26517,VEPT,Jay Prakash Narayan Airport,medium_airport,yes,Patna,Bihar,IN-BR,25.591299,85.087997,170.0,VEPT,
26514,VEMZ,Muzaffarpur Airport,medium_airport,no,Muzaffarpur,Bihar,IN-BR,26.119101,85.313698,174.0,VEMZ,
26550,VICG,Chandigarh International Airport,medium_airport,yes,Chandigarh,Chandigarh,IN-CH,30.6735,76.788498,1012.0,VICG,
26435,VEBU,Bilaspur Airport,medium_airport,yes,Bilaspur,Chhattisgarh,IN-CT,21.9884,82.111,899.0,VEBU,
598586,IN-0393,Maa Mahamaya Airport,medium_airport,yes,Ambikapur,Chhattisgarh,IN-CT,22.98753,83.19612,1930.0,,
26459,VARP,Swami Vivekananda Airport,medium_airport,yes,Raipur,Chhattisgarh,IN-CT,21.180401,81.7388,1041.0,VERP,
26441,VADN,Daman Airport,medium_airport,no,Daman,Dadra and Nagar Haveli and Daman and Diu,IN-DH,20.434401,72.843201,33.0,VADN,
26552,VIDD,Safdarjung Airport,medium_airport,no,New Delhi,Delhi,IN-DL,28.585453,77.203563,705.0,VIDD,
26440,VABV,Bhavnagar Airport,medium_airport,yes,Bhavnagar,Gujarat,IN-GJ,21.75219917,72.18520355,44.0,VABV,
26436,VABJ,Bhuj Airport,medium_airport,yes,Bhuj,Gujarat,IN-GJ,23.28779984,69.67019653,268.0,VABJ,
26448,VAJM,Jamnagar Airport,medium_airport,yes,Jamnagar,Gujarat,IN-GJ,22.46549988,70.01260376,69.0,VAJM,
26449,VAKE,Kandla Airport,medium_airport,yes,Kandla,Gujarat,IN-GJ,23.1127,70.100304,96.0,VAKE,
26452,VAKS,Keshod Airport,medium_airport,yes,Keshod,Gujarat,IN-GJ,21.317101,70.270401,167.0,VAKS,
26456,VAPR,Porbandar Airport,medium_airport,yes,Porbandar,Gujarat,IN-GJ,21.649524,69.656405,23.0,VAPR,
26458,VARK,Rajkot Airport,medium_airport,yes,Rajkot,Gujarat,IN-GJ,22.30920029,70.77950287,441.0,VARK,
26431,VAAH,Sardar Vallabh Bhai Patel International Airport,medium_airport,yes,Ahmedabad,Gujarat,IN-GJ,23.0772,72.634697,189.0,VAAH,
26461,VASU,Surat Airport,medium_airport,yes,Surat,Gujarat,IN-GJ,21.1141,72.741798,16.0,VASU,
26438,VABO,Vadodara Airport,medium_airport,yes,Vadodara,Gujarat,IN-GJ,22.336201,73.226303,129.0,VABO,
26539,VIAM,Ambala Air Force Station,medium_airport,no,Ambala,Haryana,IN-HR,30.368099,76.816704,909.0,VIAM,VI18
26559,VIHR,Hisar Airport,medium_airport,yes,Hisar,Haryana,IN-HR,29.179399,75.755302,700.0,VIHR,
26575,VISA,Sirsa Air Force Station,medium_airport,no,,Haryana,IN-HR,29.5606,75.006104,650.0,VISA,
26557,VIGG,Kangra Airport,medium_airport,yes,Kangra,Himachal Pradesh,IN-HP,32.164902,76.263018,2525.0,VIGG,
26546,VIBR,Kullu Manali Airport,medium_airport,yes,Bhuntar,Himachal Pradesh,IN-HP,31.876699,77.154404,3573.0,VIBR,
26432,VAAK,Akola Airport,medium_airport,no,Akola,IN-MM,IN-MM,20.698931,77.056883,999.0,VAAK,
26433,VAAU,Aurangabad Airport,medium_airport,yes,Aurangabad,IN-MM,IN-MM,19.86269951,75.39810181,1911.0,VAAU,
26453,VANP,Dr. Babasaheb Ambedkar International Airport,medium_airport,yes,Nagpur,IN-MM,IN-MM,21.092199,79.047203,1033.0,VANP,
3299,VA2C,Gondia Airport,medium_airport,yes,Gondia,IN-MM,IN-MM,21.526817,80.290347,987.0,VAGD,VA2C
26451,VAKP,Kolhapur Airport,medium_airport,yes,Kolhapur,IN-MM,IN-MM,16.6647,74.289398,1996.0,VAKP,
3341,VALT,Murod Kond Airport,medium_airport,yes,Latur,IN-MM,IN-MM,18.411501,76.464699,2136.0,VALT,
30180,VAND,Nanded Airport,medium_airport,yes,Nanded,IN-MM,IN-MM,19.1833,77.316704,1250.0,VOND,VOND
3301,VAOZ,Nashik Airport,medium_airport,yes,Nasik,IN-MM,IN-MM,20.119101,73.912903,1900.0,VAOZ,
26455,VAPO,Pune Airport / Lohagaon Air Force Station,medium_airport,yes,Pune,IN-MM,IN-MM,18.5821,73.919701,1942.0,VAPO,
26457,VARG,Ratnagiri Airport,medium_airport,no,,IN-MM,IN-MM,17.013599,73.327797,305.0,VARG,
508630,IN-0369,Sant Gadge Baba Yavatmal Airport,medium_airport,no,Yavatmal,IN-MM,IN-MM,20.395781,78.216272,1403.0,,VA78
327452,VASD,Shirdi Airport,medium_airport,yes,Kakadi,IN-MM,IN-MM,19.688752,74.377354,1926.0,VASD,
331218,IN-0107,Sindhudurg Airport,medium_airport,yes,Chipi,IN-MM,IN-MM,16.002552,73.529846,203.0,VOSR,
