Unnamed: 0,From,To,Booking_date,Journey_date,Airline,Code,Departure,Arrival,Duration,Stops,Price,Booking_Hour,Booking_DateTime,Booking_Slot,Lead_Time_Days,Duration_mins,Route
0,Delhi,Bangalore,23-06-2022,23-06-2022,Air India,AI-504,21:15,"00:05
+1D",2h 50m,non-stop,9420,6,23-06-2022 06:00,Morning,0,170,Delhi -> Bangalore
1,Delhi,Bangalore,23-06-2022,23-06-2022,IndiGo,6E-2131,21:30,"00:15
+1D",2h 45m,non-stop,9419,19,23-06-2022 19:00,Evening,0,165,Delhi -> Bangalore
2,Delhi,Bangalore,23-06-2022,23-06-2022,IndiGo,6E-6565,22:55,"01:45
+1D",2h 50m,non-stop,9419,14,23-06-2022 14:00,Afternoon,0,170,Delhi -> Bangalore
3,Delhi,Bangalore,23-06-2022,23-06-2022,Air India,AI-605,21:15,"07:50
+1D",10h 35m,1 stop,14775,10,23-06-2022 10:00,Morning,0,635,Delhi -> Bangalore
4,Delhi,Bangalore,23-06-2022,23-06-2022,Air India,AI-605,21:15,"18:20
+1D",21h 5m,1 stop,14985,7,23-06-2022 07:00,Morning,0,1265,Delhi -> Bangalore
5,Delhi,Bangalore,23-06-2022,23-06-2022,Air India,AI-605,21:15,"11:10
+1D",13h 55m,1 stop,15300,20,23-06-2022 20:00,Evening,0,835,Delhi -> Bangalore
6,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"17:45
+1D",20h 15m,1 stop,15612,6,23-06-2022 06:00,Morning,0,1215,Delhi -> Bangalore
7,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"19:15
+1D",21h 45m,1 stop,15612,18,23-06-2022 18:00,Evening,0,1305,Delhi -> Bangalore
8,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"18:15
+1D",20h 45m,1 stop,15929,22,23-06-2022 22:00,Night,0,1245,Delhi -> Bangalore
9,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"07:50
+1D",10h 20m,1 stop,16349,10,23-06-2022 10:00,Morning,0,620,Delhi -> Bangalore
10,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"23:10
+1D",25h 40m,1 stop,16349,10,23-06-2022 10:00,Morning,0,1540,Delhi -> Bangalore
11,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"10:45
+1D",13h 15m,1 stop,16874,23,23-06-2022 23:00,Night,0,795,Delhi -> Bangalore
12,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"08:50
+1D",11h 20m,1 stop,17924,20,23-06-2022 20:00,Evening,0,680,Delhi -> Bangalore
13,Delhi,Bangalore,23-06-2022,23-06-2022,Vistara,UK-981,21:30,"20:55
+1D",23h 25m,1 stop,17924,3,23-06-2022 03:00,Night,0,1405,Delhi -> Bangalore
14,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-5036,02:25,05:15,2h 50m,non-stop,9419,7,23-06-2022 07:00,Morning,1,170,Delhi -> Bangalore
15,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2048,03:50,06:40,2h 50m,non-stop,9419,23,23-06-2022 23:00,Night,1,170,Delhi -> Bangalore
16,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-113,05:50,08:30,2h 40m,non-stop,9419,2,23-06-2022 02:00,Night,1,160,Delhi -> Bangalore
17,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-6612,06:00,08:35,2h 35m,non-stop,9419,21,23-06-2022 21:00,Night,1,155,Delhi -> Bangalore
18,Delhi,Bangalore,23-06-2022,24-06-2022,SpiceJet,SG-191,06:05,08:55,2h 50m,non-stop,9419,20,23-06-2022 20:00,Evening,1,170,Delhi -> Bangalore
19,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-803,06:10,08:55,2h 45m,non-stop,9420,1,23-06-2022 01:00,Night,1,165,Delhi -> Bangalore
20,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-811,06:15,09:00,2h 45m,non-stop,9418,23,23-06-2022 23:00,Night,1,165,Delhi -> Bangalore
21,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-5009,06:55,09:50,2h 55m,non-stop,9419,11,23-06-2022 11:00,Morning,1,175,Delhi -> Bangalore
22,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-815,08:05,10:50,2h 45m,non-stop,9418,5,23-06-2022 05:00,Morning,1,165,Delhi -> Bangalore
23,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-740,08:10,10:40,2h 30m,non-stop,9419,1,23-06-2022 01:00,Night,1,150,Delhi -> Bangalore
24,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6.00E-308,08:20,11:00,2h 40m,non-stop,9419,20,23-06-2022 20:00,Evening,1,160,Delhi -> Bangalore
25,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-119,20:30,23:20,2h 50m,non-stop,9419,0,23-06-2022 00:00,Night,1,170,Delhi -> Bangalore
26,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-721,21:00,23:50,2h 50m,non-stop,9419,11,23-06-2022 11:00,Morning,1,170,Delhi -> Bangalore
27,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2131,21:30,"00:15
+1D",2h 45m,non-stop,9419,21,23-06-2022 21:00,Night,1,165,Delhi -> Bangalore
28,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-1732,21:40,"00:30
+1D",2h 50m,non-stop,9419,11,23-06-2022 11:00,Morning,1,170,Delhi -> Bangalore
29,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-6565,22:55,"01:45
+1D",2h 50m,non-stop,9419,16,23-06-2022 16:00,Afternoon,1,170,Delhi -> Bangalore
30,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2003,11:15,16:30,5h 15m,1 stop,9472,9,23-06-2022 09:00,Morning,1,315,Delhi -> Bangalore
31,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-406,10:30,17:10,6h 40m,1 stop,9419,15,23-06-2022 15:00,Afternoon,1,400,Delhi -> Bangalore
32,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-338,10:55,17:25,6h 30m,1 stop,9419,14,23-06-2022 14:00,Afternoon,1,390,Delhi -> Bangalore
33,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-713,16:15,23:10,6h 55m,2 stops,9418,14,23-06-2022 14:00,Afternoon,1,415,Delhi -> Bangalore
34,Delhi,Bangalore,23-06-2022,24-06-2022,GO FIRST,G8-406,10:30,17:40,7h 10m,2 stops,9419,18,23-06-2022 18:00,Evening,1,430,Delhi -> Bangalore
35,Delhi,Bangalore,23-06-2022,24-06-2022,SpiceJet,SG-8254,19:30,"08:25
+1D",12h 55m,1 stop,9419,11,23-06-2022 11:00,Morning,1,775,Delhi -> Bangalore
36,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-801,09:05,11:50,2h 45m,non-stop,9735,22,23-06-2022 22:00,Night,1,165,Delhi -> Bangalore
37,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2188,11:30,14:15,2h 45m,non-stop,9682,19,23-06-2022 19:00,Evening,1,165,Delhi -> Bangalore
38,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2014,13:25,17:55,4h 30m,1 stop,9734,2,23-06-2022 02:00,Night,1,270,Delhi -> Bangalore
39,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2187,15:00,19:20,4h 20m,1 stop,9734,4,23-06-2022 04:00,Night,1,260,Delhi -> Bangalore
40,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2168,17:50,22:40,4h 50m,1 stop,9734,18,23-06-2022 18:00,Evening,1,290,Delhi -> Bangalore
41,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-5005,05:15,10:15,5h 0m,1 stop,9734,6,23-06-2022 06:00,Morning,1,300,Delhi -> Bangalore
42,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2697,06:50,12:05,5h 15m,1 stop,9734,20,23-06-2022 20:00,Evening,1,315,Delhi -> Bangalore
43,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-6187,15:15,20:30,5h 15m,1 stop,9734,8,23-06-2022 08:00,Morning,1,315,Delhi -> Bangalore
44,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-711,06:05,13:00,6h 55m,1 stop,9735,6,23-06-2022 06:00,Morning,1,415,Delhi -> Bangalore
45,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-744,07:25,14:15,6h 50m,1 stop,9735,17,23-06-2022 17:00,Evening,1,410,Delhi -> Bangalore
46,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-6827,09:15,11:55,2h 40m,non-stop,9997,3,23-06-2022 03:00,Night,1,160,Delhi -> Bangalore
47,Delhi,Bangalore,23-06-2022,24-06-2022,SpiceJet,SG-537,20:00,22:30,2h 30m,non-stop,9943,13,23-06-2022 13:00,Afternoon,1,150,Delhi -> Bangalore
48,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2532,20:10,23:00,2h 50m,non-stop,9997,17,23-06-2022 17:00,Evening,1,170,Delhi -> Bangalore
49,Delhi,Bangalore,23-06-2022,24-06-2022,Air Asia,I5-552,10:40,16:25,5h 45m,1 stop,9997,8,23-06-2022 08:00,Morning,1,345,Delhi -> Bangalore
50,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-506,09:45,12:30,2h 45m,non-stop,10155,20,23-06-2022 20:00,Evening,1,165,Delhi -> Bangalore
51,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-5186,13:00,15:35,2h 35m,non-stop,10312,1,23-06-2022 01:00,Night,1,155,Delhi -> Bangalore
52,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-504,21:15,"00:05
+1D",2h 50m,non-stop,10155,19,23-06-2022 19:00,Evening,1,170,Delhi -> Bangalore
53,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2004,12:45,17:55,5h 10m,1 stop,10259,14,23-06-2022 14:00,Afternoon,1,310,Delhi -> Bangalore
54,Delhi,Bangalore,23-06-2022,24-06-2022,Air India,AI-807,17:15,20:15,3h 0m,non-stop,11100,6,23-06-2022 06:00,Morning,1,180,Delhi -> Bangalore
55,Delhi,Bangalore,23-06-2022,24-06-2022,IndiGo,6E-2487,17:25,19:55,2h 30m,non-stop,11047,11,23-06-2022 11:00,Morning,1,150,Delhi -> Bangalore
56,Delhi,Bangalore,23-06-2022,24-06-2022,Vistara,UK-807,20:40,23:20,2h 40m,non-stop,11205,7,23-06-2022 07:00,Morning,1,160,Delhi -> Bangalore
